"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"28 List 2024 14:46:35";"Zmodyfikowano Transakcję Sprzedaży";"O2-DC-9CZY10";"T2-DC-5P76C2";"-";"USD/JPY";"80 000 Jednost.";"151,661";"-";"151,650";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 14:10:16";"Transakcja Sprzedaży";"O2-DC-9CZY10";"T2-DC-5P76C2";"-";"USD/JPY";"80 000 Jednost.";"151,661";"-";"-";"-";"-";"4,108811";"328 704,88";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 13:54:35";" Zamknięcie Transakcji";"O2-DC-9CZXN2";"T2-DC-5P7619";"O2-DC-9CZTRG";"USD/JPY";"80 000 Jednost.";"151,760";"-";"-";"-";"-";"0,026798";"328 616,72";"2,14";"29 421,40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 12:05:40";"Transakcja Sprzedaży";"O2-DC-9CZTRG";"T2-DC-5P73VH";"-";"USD/JPY";"80 000 Jednost.";"151,761";"-";"-";"-";"-";"4,10818";"328 654,40";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 09:46:36";" Zamknięcie Transakcji";"O2-DC-9CZN8P";"T2-DC-5P6ZE4";"O2-DC-9CXB58";"USD/JPY";"5 000 Jednost.";"151,874";"-";"-";"-";"-";"0,026745";"20 513,59";"107,78";"29 419,26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 08:46:48";" Zamknięcie Transakcji";"O2-DC-9CZK69";"T2-DC-5P6WXG";"O2-DC-9CXB58";"USD/JPY";"5 000 Jednost.";"151,752";"-";"-";"-";"-";"0,026819";"20 552,77";"124,44";"29 311,48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 08:46:22";" Zamknięcie Transakcji";"O2-DC-9CZK5P";"T2-DC-5P6WX0";"O2-DC-9CXB58";"USD/JPY";"4 000 Jednost.";"151,741";"-";"-";"-";"-";"0,026815";"16 439,85";"100,72";"29 187,04";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 08:03:00";" Zamknięcie Transakcji";"O2-DC-9CZHVW";"T2-DC-5P6VT7";"O2-DC-9CXB58";"USD/JPY";"6 000 Jednost.";"151,631";"-";"-";"-";"-";"0,026812";"24 639,51";"168,75";"29 086,32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 08:01:29";" Zamknięcie Transakcji";"O2-DC-9CZHTD";"T2-DC-5P6VS7";"O2-DC-9CXB58";"USD/JPY";"50 000 Jednost.";"151,575";"-";"-";"-";"-";"0,026815";"205 273,70";"1 481,53";"28 917,57";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 07:57:51";"Stop Loss";"O2-DC-9CYR48";"T2-DC-5P6VNM";"-";"USD/JPY";"60 000 Jednost.";"151,550";"-";"-";"-";"-";"0,02681";"246 258,72";"963,55";"27 436,04";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 07:56:54";"Zmodyfikowano Stop Loss";"O2-DC-9CYR48";"-";"O2-DC-9CZHNC";"USD/JPY";"60 000 Jednost.";"150,951";"-";"151,550";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 07:56:28";"Zmodyfikowano Stop Loss";"O2-DC-9CYR48";"-";"O2-DC-9CZHNC";"USD/JPY";"60 000 Jednost.";"150,951";"-";"151,530";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 07:55:49";" Zmodyfikowano Transakcję Kupna";"O2-DC-9CYR48";"T2-DC-5P66KJ";"-";"USD/JPY";"60 000 Jednost.";"150,951";"-";"151,520";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 07:54:34";" Zamknięcie Transakcji";"O2-DC-9CZHMY";"T2-DC-5P6VMB";"O2-D9-9BB04B";"USD/JPY";"34 000 Jednost.";"151,519";"-";"-";"-";"-";"0,026818";"139 543,20";"269,90";"26 472,49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 07:54:22";" Zamknięcie Transakcji";"O2-DC-9CZHMX";"T2-DC-5P6VM9";"O2-D9-9BJZX7";"USD/JPY";"30 000 Jednost.";"151,521";"-";"-";"-";"-";"0,026817";"123 118,23";"353,18";"26 202,59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"1391489095";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-336,89";"25 849,41";"-";"-";"-";"-";"-";"-336,89";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CW8WR";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90 000,00";"5,53252%";"-167,49";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CX5JR";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14 000,00";"5,53252%";"-26,05";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-D9-9BJZX7";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30 000,00";"5,53252%";"-55,83";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-D9-9BB04B";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34 000,00";"5,53252%";"-63,27";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DB-9C9X8L";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20 000,00";"3,47811%";"23,17";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DB-9CQYNM";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100 000,00";"3,47811%";"115,83";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CYR48";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60 000,00";"3,47811%";"69,50";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
